english_sentence,hindi_sentence
Move% s onto% s.,% s खिसकाएँ% s पर. 
This game is unable to provide a hint.,यह खेल कोई संकेत उपलब्ध कराने में असमर्थ है. 
Accordion,एकार्डियन
Agnes,एग्नेस
Athena,एथेना
Auld Lang Syne,अल्ड लेंग स्याने
Aunt Mary,आंट मेरी
Backbone,रीढ़
Bakers Dozen,बेकर्स दर्जन
Bakers Game,बेकर्स खेल
Bear River,बीयर रिवर
Beleaguered Castle,सताने वाला किला
Block Ten,ब्लाक दस
Bristol,ब्रिस्टल
Camelot,केमेलॉट
Canfield,केनफील्ड
Carpet,दरी
Chessboard,शतरंज
Clock,घड़ी
Cover,आवरण
Cruel,कठोर
Diamond Mine,हीरा खदान
Doublets,जोड़ा
Eagle Wing,बाज पंख
Easthaven,ईस्टहैवन
Eight Off,आठ बन्द
Elevator,एलीवेटर
Eliminator,निरसक
Escalator,एस्केलेटर
First Law,पहला नियम
Fortress,किला
Fortunes,सौभाग्य
Forty Thieves,चालीस चोर
Fourteen,चौदह
Freecell,फ्रीसेल
Gaps,गैप
Gay Gordons,गे गोरडोन्स
Giant,जायंट
Glenwood,ग्लेनवुड
Gold Mine,सोना खदान
Golf,गोल्फ
Gypsy,जिप्सी
Helsinki,हेलसिंकी
Hopscotch,हॉपस्कॉच
Isabel,इसाबेल
Jamestown,जेम्सटाउन
Jumbo,भारी भरकम
Kansas,कैनसास
King Albert,राजा अलबर्ट
Kings Audience,किंग ऑडियंस
Klondike,क्लॉन्डिके
Klondike Three Decks,क्लॉन्डिके तीन डेक
Labyrinth,भूलभुलैया
Lady Jane,श्रीमती ज़ेन
Maze,भूल भुलैया
Monte Carlo,मोन्ते कार्लो
Napoleons Tomb,नेपोलियन मकबरा
Neighbor,पड़ोसी
Odessa,ओडेसा
Osmosis,ऑस्मोसिस
Peek,झांकें
Pileon,पाइलेअन
Plait,लपेट
Poker,पोकर
Quatorze,क्वातोर्जे
Royal East,रॉयल ईस्ट
Saratoga,साराटोगा
Scorpion,वृश्चिक
Scuffle,हाथापाई
Seahaven,सीहैवन
Sir Tommy,श्रीमान् टॉमी
Sol,सोल
Spider,मकड़ी
Spider Three Decks,स्पाइडर तीन डेक
Spiderette,मादा मकड़ी
Straight Up,सीधा ऊपर
Streets And Alleys,गलियां और चौबारा
Template,टेम्पलेट
Ten Across,दस आरपार
Terrace,टेरेस
Thieves,चोर
Thirteen,तेरह
Thumb And Pouch,अंगूठा और पॉकेट
Treize,ट्रेज
Triple Peaks,तिहरी चोटी
Union Square,संघीय चौराहा
Valentine,वेलेंटाइन
Westhaven,वेस्ट हैवन
Whitehead,सफेदसिर (व्हाइटहेड) 
Will O The Wisp,विल औ द विस्प
Yield,उपज
Yukon,युकान
Zebra,जेब्राcard symbol
JOKER,जोकरcard symbol
A,Acard symbol
2,2number
3,3number
4,4number
5,5number
6,6number
7,7number
8,8number
9,9
J,Jcard symbol
Q,Qcard symbol
K,Kcard symbol
1,1number
ace of clubs,चिड़ी का इक्का
two of clubs,चिड़ी की दुक्की
three of clubs,चिड़ी की तिक्की
four of clubs,चिड़ी का चौवा
five of clubs,चिड़ी का पंजा
six of clubs,चिड़ी का छक्का
seven of clubs,चिड़ी का सत्ता
eight of clubs,चिड़ी का अट्ठा
nine of clubs,चिड़ी का नहला
ten of clubs,चिड़ी का दहला
jack of clubs,चिड़ी का गुलाम
queen of clubs,चिड़ी की बेगम
king of clubs,चिड़ी का बादशाह
ace of diamonds,ईंट का इक्का
two of diamonds,ईंट का दुक्का
three of diamonds,ईंट की तिक्की
four of diamonds,ईंट का चव्वा
five of diamonds,ईंट का पंजा
six of diamonds,ईंट का छक्का
seven of diamonds,ईंट का सत्ता
eight of diamonds,ईंट का अट्ठा
nine of diamonds,ईंट का नहला
ten of diamonds,ईंट का दहला
jack of diamonds,ईंट का गुलाम
queen of diamonds,ईंट की बेगम
king of diamonds,ईंट का बादशाह
ace of hearts,लाल पान का इक्का
two of hearts,लाल पान का दुक्का
three of hearts,लाल पान की तिक्की
four of hearts,लाल पान का चव्वा
five of hearts,लाल पान का पंजा
six of hearts,लाल पान का छक्का
seven of hearts,लाल पान का सत्ता
eight of hearts,लाल पान का अट्ठा
nine of hearts,लाल पान का नहला
ten of hearts,लाल पान का दहला
jack of hearts,लाल पान का गुलाम
queen of hearts,लाल पान की बेगम
king of hearts,लाल पान का बादशाह
ace of spades,हुकुम का इक्का
two of spades,हुकुम का दुक्का
three of spades,हुकुम की तिक्की
four of spades,हुकुम का चव्वा
five of spades,हुकुम का पंजा
six of spades,हुकुम का छक्का
seven of spades,हुकुम का सत्ता
eight of spades,हुकुम का अट्ठा
nine of spades,हुकुम का नहला
ten of spades,हुकुम का दहला
jack of spades,हुकुम का गुलाम
queen of spades,हुकुम की बेगम
king of spades,हुकुम का बादशाह
face - down card,अज्ञात पत्ता
black joker,काला जोकर
red joker,लाल जोकर
Help file “% s.% s” not found,मदद फ़ाइल “% s.% s” नहीं मिली
Could not show help for “% s”,“% s” के लिए मदद नहीं दिखा सका
Whether the window is maximized,क्या विंडो सबसे बड़े आकार का होना चाहिए
Whether the window is fullscreen,क्या विंडो पूर्ण स्क्रीन है
Window width,विंडो चौड़ाई
Window height,विंडो ऊंचाई
Solitaire,सॉलिटेयर
GNOME Solitaire,गनोम सॉलिटेयर
About Solitaire,सॉलिटेयर के बारे में
Select the game type to play,खेलने के लिये खेल चुनें
NAME,नाम
FreeCell Solitaire,फ्रीसेल सॉलिटेयर
AisleRiot,एस्लेरियॉट
Wins:,जीताः
Total:,कुलः
Percentage:,प्रतिशतः
Wins,जीता
Best:,उत्तमः
Worst:,सब से बुराः
Time,समय% Id% d
% d,"% d% d ""in this string this to""% Id% d% d%%%%% ""(U + 0025 PERCENT SIGN) you do NOT need to escape it with another""% "
% d%%,% d%% Not ApplicableNot Applicable
N / A,लागू नहीं
% d:% 02d,% d:% 02d
"Congratulations, you have won!","बधाई, आप जीत गए! "
There are no more moves,कोई चाल बाकी नहीं
Main game:,मुख्य खेलः
Card games:,ताश के खेलः
Card themes:,ताश थीमः
About AisleRiot,एस्लेरियॉट के बारे में
AisleRiot provides a rule - based solitaire card engine that allows many different games to be played.,एसलिरियोट एक नियम आधारित सॉलिटेयर कार्ड इंजन देता है जो कई भिन्न खेल खेलने के लिए अनुमति देता है. 
translator - credits,रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) 
GNOME Games web site,ग्नोम खेल वेबसाइट
Play “% s”,खेलें “% s”
Display cards with “% s” card theme,कार्ड थीम “% s” के साथ कार्ड दिखाएं
A scheme exception occurred,योजना अपवाद उत्पन्न हुआ
Please report this bug to the developers.,डेवलेपर को इस बग को रिपोर्ट करें. 
_ Don 't report,मत रिपोर्ट करें (_ D) 
_ Report,रिपोर्ट करें (_ R) 
_ Game,खेल (_ G) 
_ View,देखें (_ V) 
_ Control,नियंत्रण (_ C) 
_ Help,मदद (_ H) 
Start a new game,एक नया खेल प्रारंभ करें
Restart the game,वर्तमान खेल पुनःप्रारंभ करें
_ Select Game…,खेल चुनें... (_ S) 
Play a different game,भिन्न प्रकार खेल खेलें
_ Recently Played,हाल में खेला गया (_ R) 
S _ tatistics,सांख्यिकी (_ t) 
Show gameplay statistics,खेल सांख्यिकी दिखायें
Close this window,इस विंडो को बन्द करें
Undo the last move,पिछली चाल पूर्ववत करें
Redo the undone move,पिछली चाल पूर्ववत करें
Deal next card or cards,अगला कार्ड या कार्ड्स की डील करें
Get a hint for your next move,अगली चाल हेतु संकेत प्राप्त करें
View help for Aisleriot,एस्लेरियाट के लिये सहायता देखें
View help for this game,इस खेल के लिये सहायता दिखायें
About this game,इस खेल के बारे में
Install card themes…,ताश प्रसंग इंस्टाल करें... 
Install new card themes from the distribution packages repositories,वितरण पैकेज रिपोसिटरीज़ से नए कार्ड गेम प्रसंग संस्थापित करें
_ Card Style,ताश शैली (_ C) 
_ Toolbar,उपकरण-पट्टी (_ T) 
Show or hide the toolbar,उपकरण-पट्टी छुपाएँ या दिखाएँ
_ Statusbar,स्थिति पट्टी (_ S) 
Show or hide statusbar,उपकरण-पट्टी छुपाएँ या दिखाएँ
_ Click to Move,बढ़ने के लिये क्लिक करें (_ C) 
Pick up and drop cards by clicking,क्लिक करके ताश ले या छोड़ें
_ Sound,ध्वनि (_ S) 
Whether or not to play event sounds,घटनाओं हेतु ध्वनि बजाएँ या नहीं. 
_ Animations,एनीमेशन (_ A) 
Whether or not to animate card moves,कार्ड चालों में एनीमेशन उपयोग करें या नहीं
Score:,अंकः
Time:,समयः
Cannot start the game “% s”,“% s” खेल आरंभ नहीं कर सका
Aisleriot cannot find the last game you played.,Aisleriot पता नहीं कर सका कि आपने कौन सा खेल अंतिम बार प्राप्त किया. 
"This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead.","यह प्रायः होता है जब आप एसलिरियोट के पुराने संस्करण को चलाते हैं जिसने खेल नहीं खेला है जो आप अंतिम में खेले हैं. मूलभूत खेल, Klondike, बदले में आरंभ हो रहा है. "
Base Card: ~ a,आधार पत्ताः ~ a
Base Card: Ace,आधार पत्ताः इक्का
Base Card: Jack,आधार पत्ताः जोकर
Base Card: Queen,आधार पत्ताः रानी
Base Card: King,आधार पत्ताः बादशाह
Stock left:,बचा मालः
Stock left: 0,बचा मालः 0
Deal more cards,और ताश बांटें
Try rearranging the cards,ताश को फिर से जमाने की कोशिश करें
Unknown color,अज्ञात रंग
the black joker,काला जोकर
the red joker,लाल जोकर
the ace of clubs,चिड़ी का इक्का
the two of clubs,चिड़ी की दुक्की
the three of clubs,चिड़ी की तिक्की
the four of clubs,चिड़ी का चौवा
the five of clubs,चिड़ी का पंजा
the six of clubs,चिड़ी का छक्का
the seven of clubs,चिड़ी का सत्ता
the eight of clubs,चिड़ी का अट्ठा
the nine of clubs,चिड़ी का नहला
the ten of clubs,चिड़ी का दहला
the jack of clubs,चिड़ी का गुलाम
the queen of clubs,चिड़ी की बेगम
the king of clubs,चिड़ी का बादशाह
the unknown card,अज्ञात पत्ता
the ace of spades,हुकुम का इक्का
the two of spades,हुकुम का दुक्का
the three of spades,हुकुम की तिक्की
the four of spades,हुकुम का चव्वा
the five of spades,हुकुम का पंजा
the six of spades,हुकुम का छक्का
the seven of spades,हुकुम का सत्ता
the eight of spades,हुकुम का अट्ठा
the nine of spades,हुकुम का नहला
the ten of spades,हुकुम का दहला
the jack of spades,हुकुम का गुलाम
the queen of spades,हुकुम की बेगम
the king of spades,हुकुम का बादशाह
the ace of hearts,लाल पान का इक्का
the two of hearts,लाल पान का दुक्का
the three of hearts,लाल पान की तिक्की
the four of hearts,लाल पान का चव्वा
the five of hearts,लाल पान का पंजा
the six of hearts,लाल पान का छक्का
the seven of hearts,लाल पान का सत्ता
the eight of hearts,लाल पान का अट्ठा
the nine of hearts,लाल पान का नहला
the ten of hearts,लाल पान का दहला
the jack of hearts,लाल पान का गुलाम
the queen of hearts,लाल पान की बेगम
the king of hearts,लाल पान का बादशाह
the ace of diamonds,ईंट का इक्का
the two of diamonds,ईंट का दुक्का
the three of diamonds,ईंट की तिक्की
the four of diamonds,ईंट का चव्वा
the five of diamonds,ईंट का पंजा
the six of diamonds,ईंट का छक्का
the seven of diamonds,ईंट का सत्ता
the eight of diamonds,ईंट का अट्ठा
the nine of diamonds,ईंट का नहला
the ten of diamonds,ईंट का दहला
the jack of diamonds,ईंट का गुलाम
the queen of diamonds,ईंट की बेगम
the king of diamonds,ईंट का बादशाह
Move ~ a onto the foundation.,~ a को एक आधार पर ले जाएँ. 
Move ~ a onto an empty foundation slot.,~ a को एक खाली आधार में ले जाएँ. 
Move ~ a onto the tableau.,~ a को एक खाली तस्वीर खाँचा पर ले जाएँ. 
Move ~ a onto an empty tableau slot.,~ a को एक खाली तस्वीर खाँचा पर ले जाएँ. 
Move ~ a onto the reserve.,~ a को एक सुरक्षित खाँचा पर ले जाएँ. 
Move ~ a onto an empty reserve slot.,~ a को एक सुरक्षित खाँचा पर ले जाएँ
Move ~ a onto an empty edge slot.,~ a को एक खाली बढ़त स्लॉट में ले जाएँ. 
Move ~ a onto an empty corner slot.,~ a को एक खाली कोने स्लॉट में ले जाएँ. 
Move ~ a onto an empty top slot.,~ a को एक खाली शीर्ष स्लॉट में ले जाएँ. 
Move ~ a onto an empty bottom slot.,~ a को एक खाली नीचे स्लॉट में ले जाएँ. 
Move ~ a onto an empty left slot.,~ a को एक खाली बाएं स्लॉट में ले जाएँ. 
Move ~ a onto an empty right slot.,~ a को एक खाली दाएँ स्लॉट में ले जाएँ. 
Move ~ a onto an empty slot.,~ a को एक खाली स्लॉट में ले जाएँ. 
Move ~ a onto the black joker.,~ a को काला जोकर पर ले जाएँ. 
Move ~ a onto the red joker.,~ a को लाल जोकर पर ले जाएँ. 
Move ~ a onto the ace of clubs.,~ a को एक क्लब का इक्का पर ले जाएँ
Move ~ a onto the two of clubs.,~ a को एक क्लब का दोनों पर ले जाएँ
Move ~ a onto the three of clubs.,~ a को एक चिड़ी की तिक्की पर ले जाएँ
Move ~ a onto the four of clubs.,~ a को चिड़ी का चौवा पर ले जाएँ
Move ~ a onto the five of clubs.,~ a को एक चिड़ी का पंजा पर ले जाएँ
Move ~ a onto the six of clubs.,~ a को चिड़ी का छक्का पर ले जाएँ
Move ~ a onto the seven of clubs.,~ a को चिड़ी का सत्ता पर ले जाएँ
Move ~ a onto the eight of clubs.,~ a को चिड़ी का अट्ठा पर ले जाएँ
Move ~ a onto the nine of clubs.,~ a को चिड़ी का नहला पर ले जाएँ
Move ~ a onto the ten of clubs.,~ a को चिड़ी का दहला पर ले जाएँ
Move ~ a onto the jack of clubs.,~ a को चिड़ी का गुलाम पर ले जाएँ
Move ~ a onto the queen of clubs.,~ a को चिड़ी की बेगम पर ले जाएँ
Move ~ a onto the king of clubs.,~ a को चिड़ी का बादशाह पर ले जाएँ
Move ~ a onto the unknown card.,~ a को अज्ञात पत्ता से बाहर ले जाएँ
Move ~ a onto the ace of spades.,~ a को एक हुकुम का इक्का पर ले जाएँ
Move ~ a onto the two of spades.,~ a को एक हुकुम का दुक्का पर ले जाएँ
Move ~ a onto the three of spades.,~ a को एक हुकुम की तिक्की पर ले जाएँ
Move ~ a onto the four of spades.,~ a को एक हुकुम का चव्वा पर ले जाएँ
Move ~ a onto the five of spades.,~ a को एक हुकुम का पंजा पर ले जाएँ
Move ~ a onto the six of spades.,~ a को एक हुकुम का छक्का पर ले जाएँ
Move ~ a onto the seven of spades.,~ a को एक हुकुम का सत्ता पर ले जाएँ
Move ~ a onto the eight of spades.,~ a को एक हुकुम का अट्ठा पर ले जाएँ
Move ~ a onto the nine of spades.,~ a को एक हुकुम का नहला पर ले जाएँ
Move ~ a onto the ten of spades.,~ a को एक हुकुम का दहला पर ले जाएँ
Move ~ a onto the jack of spades.,~ a को एक हुकुम का गुलाम पर ले जाएँ
Move ~ a onto the queen of spades.,~ a को एक हुकुम की बेगम पर ले जाएँ
Move ~ a onto the king of spades.,~ a को एक हुकुम का बादशाह पर ले जाएँ
Move ~ a onto the ace of hearts.,~ a को एक लाल पान का इक्का पर ले जाएँ
Move ~ a onto the two of hearts.,~ a को एक लाल पान का दुक्का पर ले जाएँ
Move ~ a onto the three of hearts.,~ a को एक लाल पान की तिक्की पर ले जाएँ
Move ~ a onto the four of hearts.,~ a को एक लाल पान का चव्वा पर ले जाएँ
Move ~ a onto the five of hearts.,~ a को एक लाल पान का पंजा पर ले जाएँ
Move ~ a onto the six of hearts.,~ a को एक लाल पान का छक्का पर ले जाएँ
Move ~ a onto the seven of hearts.,~ a को एक लाल पान का सत्ता पर ले जाएँ
Move ~ a onto the eight of hearts.,~ a को एक लाल पान का अट्ठा पर ले जाएँ
Move ~ a onto the nine of hearts.,~ a को एक लाल पान का नहला पर ले जाएँ
Move ~ a onto the ten of hearts.,~ a को एक लाल पान का दहला पर ले जाएँ
Move ~ a onto the jack of hearts.,~ a को एक लाल पान का गुलाम पर ले जाएँ
Move ~ a onto the queen of hearts.,~ a को एक लाल पान की बेगम पर ले जाएँ
Move ~ a onto the king of hearts.,~ a को एक लाल पान का बादशाह पर ले जाएँ
Move ~ a onto the ace of diamonds.,~ a को एक ईंट का इक्का पर ले जाएँ
Move ~ a onto the two of diamonds.,~ a को एक ईंट का दुक्का पर ले जाएँ
Move ~ a onto the three of diamonds.,~ a को एक ईंट की तिक्की पर ले जाएँ
Move ~ a onto the four of diamonds.,~ a को एक ईंट का चव्वा पर ले जाएँ
Move ~ a onto the five of diamonds.,~ a को एक ईंट का पंजा पर ले जाएँ
Move ~ a onto the six of diamonds.,~ a को एक ईंट का छक्का पर ले जाएँ
Move ~ a onto the seven of diamonds.,~ a को एक ईंट का सत्ता पर ले जाएँ
Move ~ a onto the eight of diamonds.,~ a को एक ईंट का अट्ठा पर ले जाएँ
Move ~ a onto the nine of diamonds.,~ a को एक ईंट का नहला पर ले जाएँ. 
Move ~ a onto the ten of diamonds.,~ a को एक ईंट का दहला पर ले जाएँ
Move ~ a onto the jack of diamonds.,~ a को एक ईंट का गुलाम पर ले जाएँ
Move ~ a onto the queen of diamonds.,~ a को एक ईंट की बेगम पर ले जाएँ
Move ~ a onto the king of diamonds.,~ a को एक ईंट का बादशाह पर ले जाएँ
Three card deals,तीन पत्ते बांटें
Deal another round,एक दौर और चलें
Redeals left:,ताश बांटना बाकीः
an empty slot on the tableau,तस्वीर में एक खाली खाँचा
an empty slot on the foundation,आधार पर खाली स्लॉट
Deal a new card from the deck,डेक में से नया पत्ता चलें
Base Card:,आधार पत्ताः
Move something onto an empty right - hand tableau slot,दाएं बाजू के खाली स्थान पर कुछ ले जाएँ
Remove the ten of clubs.,चिड़ी का दहला हटाएँ. 
Remove the ten of diamonds.,ईंट का दहला हटाएँ. 
Remove the ten of hearts.,लाल पान का दहला हटाएँ. 
Remove the ten of spades.,हुकुम का दहला हटाएँ. 
Reserve left:,अतिरिक्त बाकीः
Move waste back to stock,बेकार को भण्डार में वापस ले जाएँ
Move a card to the Foundation,आधार पर एक पत्ता ले जाएँ
Move something into the empty Tableau slot,किसी वस्तु को तस्वीर के खाली खाँचे में ले जाएँ
Just because a crosswalk looks like a hopscotch board doesn 't mean it is one,"सिर्फ इसलिए कि हापस्काच बोर्ड पारपथ जैसे दिखता है, इसका मतलब यह नहीं कि वह यही है"
Look both ways before you cross the street,"जब आप सड़क पार करें, तो दोनों तरफ देखें"
Have you read the help file?,क्या आपने मदद फ़ाइल पढ़ ली है? 
Odessa is a better game. Really.,ओडेसा एक बढ़िया खेल है. सच में. 
Tourniquets are not recommended unless in the direst emergency,"जब तक अत्यधिक आपात् स्थिति न हो, रक्त-बन्ध की सिफारिश नहीं की जाती"
I could sure use a backrub right about now...,लगता है मुझे तुरंत अपनी पीठ खुजानी पड़ेगी... 
Monitors won 't give you Vitamin D - - but sunlight will...,"सूर्य किरणें आपको विटामिन डी देती हैं, कम्प्यूटरों के मॉनीटर्स नहीं... "
"If you 're ever lost and alone in the woods, hug a tree","यदि आप कभी जंगल में अकेले गुम हो जाएँ, तो किसी पेड़ के आगोश में जाएँ"
Fishing wire makes bad dental floss,मछली पकड़ने के तांत से अपने दांत साफ मत करिए
Consistency is key,संगतता ही कुंजी है
"When without a stapler, a staple and a ruler will work",जब व्यवसायी न हो तो हाट और शासक भी वह काम करते हैं
Never blow in a dog 's ear,कुत्ते के कान में कभी सीटी नहीं बजाएँ
Cards remaining: ~ a,शेष ताशः ~ a
Redeal.,फिर बांटें
You are searching for an ace.,एक इक्का को आप ढूंढ रहे हैं. 
You are searching for a two.,एक दुक्की को आप ढूंढ रहे हैं. 
You are searching for a three.,एक तिक्की को आप ढूंढ रहे हैं. 
You are searching for a four.,एक चव्वा को आप ढूंढ रहे हैं. 
You are searching for a five.,एक पंजा को आप ढूंढ रहे हैं. 
You are searching for a six.,एक छक्का को आप ढूंढ रहे हैं. 
You are searching for a seven.,एक सत्ता को आप ढूंढ रहे हैं. 
You are searching for an eight.,एक अट्ठा को आप ढूंढ रहे हैं. 
You are searching for a nine.,एक नहला को आप ढूंढ रहे हैं. 
You are searching for a ten.,एक दहला को आप ढूंढ रहे हैं. 
You are searching for a jack.,एक गुलाम को आप ढूंढ रहे हैं. 
You are searching for a queen.,एक बेगम को आप ढूंढ रहे हैं. 
You are searching for a king.,एक बादशाह को आप ढूंढ रहे हैं. 
Unknown value,अज्ञात मान
Deal a card,एक पत्ता बांटें
Move a king onto an empty tableau slot.,खाली तस्वीर खाँचा पर बादशाह को ले जाएँ. 
No hint available right now,कोई संकेत अभी उपलब्ध नहीं है
Move something on to an empty reserve,खाली बची अतिरिक्त जगह पर कुछ ले जाएँ
Six Foundations,छह मूलाधार
Five Foundations,पाँच मूलाधार
Four Foundations,चार मूलाधार
Play a card to foundation.,आधार पर एक पत्ता ले जाएँ. 
No moves.,कोई चाल नहीं. 
Remove the aces,इक्का मिटाएँ
Remove the twos,दुक्की मिटाएँ
Remove the threes,तिक्की मिटाएँ
Remove the fours,चव्वा मिटाएँ
Remove the fives,पंजा मिटाएँ
Remove the sixes,छक्का मिटाएँ
Remove the sevens,सत्ता मिटाएँ
Remove the eights,अट्ठा मिटाएँ
Remove the nines,नहला मिटाएँ
Remove the tens,दहला मिटाएँ
Remove the jacks,जोकर मिटाएँ
Remove the queens,बेगम मिटाएँ
Remove the kings,बादशाह मिटाएँ
I 'm not sure,मैं सुनिश्चित नहीं हूं
Return cards to stock,ताश के पत्तों को ढेर में वापस करें
Move something onto an empty tableau slot.,किसी वस्तु को खाली तस्वीर खाँचे में ले जाएँ
Move ~ a off the board,~ a को पट्ट से बाहर ले जाएँ
Consider moving something into an empty slot,खाली खाँचा में कुछ ले जाने के बारे में विचार करें
Deal a card from stock,स्टाक में से पत्ता निकालें
No moves are possible. Undo or start again.,कोई चाल संभव नहीं. वापस लें या फिर शुरू करें
The game has no solution. Undo or start again.,खेल के पास कोई हल नहीं है. वापस ले या फिर शुरू करें. 
Double click any card to redeal.,फिर बांटने के लिये किसी कार्ड को दो बार क्लिक करें
No hint available.,कोई संकेत उपलब्ध नहीं है
Place a two in the leftmost slot of row ~ a.,पंक्ति ~ a के सबसे बायें के स्लॉट में दो को रखें. 
Add to the sequence in row ~ a.,पंक्ति ~ a में श्रृंखला में जोड़ें. 
Place the two of clubs next to the ace of clubs.,चिड़ी की दुक्की के बगल में चिड़ी के इक्का को रखें. 
Place the three of clubs next to the two of clubs.,चिड़ी की तिक्की के बगल में चिड़ी के दुक्की को रखें. 
Place the four of clubs next to the three of clubs.,चिड़ी की चौवा के बगल में चिड़ी के तिक्की को रखें. 
Place the five of clubs next to the four of clubs.,चिड़ी की चौवा के बगल में चिड़ी के पंजा को रखें. 
Place the six of clubs next to the five of clubs.,चिड़ी की छक्का के बगल में चिड़ी के पंजा को रखें. 
Place the seven of clubs next to the six of clubs.,चिड़ी की सत्ता के बगल में चिड़ी के छक्का को रखें. 
Place the eight of clubs next to the seven of clubs.,चिड़ी की अट्ठा के बगल में चिड़ी के सत्ता को रखें. 
Place the nine of clubs next to the eight of clubs.,चिड़ी की नहला के बगल में चिड़ी के अट्ठा को रखें. 
Place the ten of clubs next to the nine of clubs.,चिड़ी की दहला के बगल में चिड़ी के नहला को रखें. 
Place the jack of clubs next to the ten of clubs.,चिड़ी की चिड़ी के बगल में चिड़ी के दहला को रखें. 
Place the queen of clubs next to the jack of clubs.,चिड़ी की गुलाम के बगल में चिड़ी के दहला को रखें. 
Place the king of clubs next to the queen of clubs.,चिड़ी की बेगम के बगल में चिड़ी के वादशाह को रखें. 
Place the two of spades next to the ace of spades.,हुकुम की दुक्का के बगल में हुकुम के इक्का को रखें. 
Place the three of spades next to the two of spades.,हुकुम की तिक्की के बगल में हुकुम के दुक्का को रखें. 
Place the four of spades next to the three of spades.,हुकुम की दुक्का के बगल में हुकुम के तिक्की को रखें. 
Place the five of spades next to the four of spades.,हुकुम की पंजा के बगल में हुकुम के चव्वा को रखें. 
Place the six of spades next to the five of spades.,हुकुम की पंजा के बगल में हुकुम के चव्वा को रखें. 
Place the seven of spades next to the six of spades.,हुकुम की सत्ता के बगल में हुकुम के छक्का को रखें. 
Place the eight of spades next to the seven of spades.,हुकुम की अट्ठा के बगल में हुकुम के सत्ता को रखें. 
Place the nine of spades next to the eight of spades.,हुकुम की नहला के बगल में हुकुम के अट्ठा को रखें. 
Place the ten of spades next to the nine of spades.,हुकुम की दहला के बगल में हुकुम के नहला को रखें. 
Place the jack of spades next to the ten of spades.,हुकुम की गुलाम के बगल में हुकुम के दहला को रखें. 
Place the queen of spades next to the jack of spades.,हुकुम की बेगम के बगल में हुकुम के गुलाम को रखें. 
Place the king of spades next to the queen of spades.,हुकुम की बेगम के बगल में हुकुम के वादशाह को रखें
Place the two of hearts next to the ace of hearts.,लाल पान की दुक्का के बगल में लाल पान के इक्का को रखें. 
Place the three of hearts next to the two of hearts.,लाल पान की तिक्की के बगल में लाल पान के दुक्का को रखें. 
Place the four of hearts next to the three of hearts.,लाल पान की चव्वा के बगल में लाल पान के तिक्की को रखें. 
Place the five of hearts next to the four of hearts.,लाल पान की पंजा के बगल में लाल पान के चव्वा को रखें. 
Place the six of hearts next to the five of hearts.,लाल पान की छक्का के बगल में लाल पान के पंजा को रखें. 
Place the seven of hearts next to the six of hearts.,लाल पान की सत्ता के बगल में लाल पान के छक्का को रखें. 
Place the eight of hearts next to the seven of hearts.,लाल पान की अट्ठा के बगल में लाल पान के सत्ता को रखें. 
Place the nine of hearts next to the eight of hearts.,लाल पान की नहला के बगल में लाल पान के अट्ठा को रखें. 
Place the ten of hearts next to the nine of hearts.,लाल पान की दहला के बगल में लाल पान के नहला को रखें. 
Place the jack of hearts next to the ten of hearts.,लाल पान की गुलाम के बगल में लाल पान के दहला को रखें. 
Place the queen of hearts next to the jack of hearts.,लाल पान की बेगम के बगल में लाल पान के गुलाम को रखें. 
Place the king of hearts next to the queen of hearts.,लाल पान की बेगम के बगल में लाल पान के वादशाह को रखें. 
Place the two of diamonds next to the ace of diamonds.,ईंट का दुक्का के बगल में ईंट का इक्का को रखें. 
Place the three of diamonds next to the two of diamonds.,ईंट का तिक्की के बगल में ईंट का दुक्का को रखें. 
Place the four of diamonds next to the three of diamonds.,ईंट का चव्वा के बगल में ईंट का तिक्की को रखें. 
Place the five of diamonds next to the four of diamonds.,ईंट का पंजा के बगल में ईंट का छक्का को रखें. 
Place the six of diamonds next to the five of diamonds.,ईंट का छक्का के बगल में ईंट का पंजा को रखें. 
Place the seven of diamonds next to the six of diamonds.,ईंट का सत्ता के बगल में ईंट का छक्का को रखें. 
Place the eight of diamonds next to the seven of diamonds.,ईंट का अट्ठा के बगल में ईंट का सत्ता को रखें. 
Place the nine of diamonds next to the eight of diamonds.,ईंट का नहला के बगल में ईंट का अट्ठा को रखें. 
Place the ten of diamonds next to the nine of diamonds.,ईंट का दहला के बगल में ईंट का नहला को रखें. 
Place the jack of diamonds next to the ten of diamonds.,ईंट का गुलाम के बगल में ईंट का दहला को रखें. 
Place the queen of diamonds next to the jack of diamonds.,ईंट का बेगम के बगल में ईंट का गुलाम को रखें. 
Place the king of diamonds next to the queen of diamonds.,ईंट की बेगम के बगल में ईंट के वादशाह को रखें. 
Randomly Placed Gaps on Redeal,रिडील पर बेतरतीब रूप से रखा गैप्स
Deals left: ~ a,बायीँ डीलः ~ a
Deal a row,पूरी लाइन फेंटें
an empty foundation place,एक खाली फाउण्डेशन जगह
an empty tableau place,एक खाली चित्र जगह
Try moving a card to the reserve,ताश को उलटे खिसका कर देखें
Try dealing a row of cards,ताशों को फेंट कर देखें
